text,department,section,priority,time_bucket
"traction substation check on the Prayagraj-Mughalsarai stretch during the morning , immediately a quick in 3 days",trd,ALD-MGS,critical,morning
"track tamping on near Agra in the morning , non-urgent",engg,AGC-CNB,low,morning
An emergency rail welding repair required near Kanpur to Allahabad this weekend during the morning,engg,CNB-ALD,critical,morning
"a 2h bridge inspection on New Delhi-Ghaziabad stretch next tuesday during the afternoon, immediately",engg,NDLS-MTJ,critical,afternoon
Please need formation strengthening on Itarsi section this weekend at night,engg,BPL-ET,medium,night
We need to a 3h broken rail repair on the Kanpur-Prayagraj stretch in 3 days during the afternoon,engg,CNB-ALD,medium,afternoon
Priority power supply inspection required near near New Delhi day after tomorrow in the afternoon,trd,NDLS-MTJ,high,afternoon
"Can you schedule schedule traction transformer check in 3 days during the afternoon on the Prayagraj-Mughalsarai stretch, low priority",trd,ALD-MGS,low,afternoon
"need overhead line repair on the Prayagraj-Mughalsarai stretch in 3 days during the evening, immediately",trd,ALD-MGS,critical,evening
"We need to a 2 hour bridge inspection on the Pandit Deen Dayal Upadhyaya Jn section next friday in the afternoon, as soon as possible",engg,ALD-MGS,high,afternoon
Urgent power supply inspection required near Mathura to Agra this weekend before dawn,trd,MTJ-AGC,critical,early_morning
"plan insulator cleaning on the Prayagraj-Mughalsarai stretch overnight today, priority",trd,ALD-MGS,high,night
point machine repair required near Ghaziabad section today during the evening,st,NDLS-MTJ,medium,evening
"a 1h route relay interlocking check on New Delhi-Ghaziabad stretch next friday during the morning, priority",st,NDLS-MTJ,high,morning
"Kindly schedule a 2 hour OHE wire tensioning tonight in the midnight window on the Bhopal-Itarsi stretch, as soon as possible",trd,BPL-ET,high,night
ballast renewal on the Pandit Deen Dayal Upadhyaya Jn section in the afternoon a 4h in 3 days,engg,ALD-MGS,medium,afternoon
"need traction motor check on Agra to Kanpur next monday during the morning, asap",trd,AGC-CNB,critical,morning
Asap signal failure attention required near Allahabad to Mughalsarai in a week early morning,st,ALD-MGS,critical,early_morning
Urgent track patrolling required near ALD-MGS tomorrow,engg,ALD-MGS,critical,unspecified
"Please plan signal maintenance on Kanpur to Allahabad during the morning tonight, important",st,CNB-ALD,high,morning
"Can you schedule schedule a 4h traction motor check next thursday in the midnight window on near Bhopal, urgent",trd,BPL-ET,critical,night
"Can you schedule need track patrolling on Kanpur Central section today before dawn, high priority",engg,AGC-CNB,high,early_morning
plan rail welding repair on NDLS-MTJ at night next friday,engg,NDLS-MTJ,medium,night
"track circuit fault on CNB-ALD before dawn , an emergency a 4h today",engg,CNB-ALD,critical,early_morning
"We need to plan axle counter testing on CNB-ALD at night next wednesday, important",st,CNB-ALD,high,night
"Kindly plan signal circuit testing on NDLS-MTJ next thursday, minor",st,NDLS-MTJ,low,unspecified
"Can you schedule plan traction motor check on near Bhopal during the evening next tuesday, important",trd,BPL-ET,high,evening
"track circuit fault on near Kanpur during the morning , as soon as possible in 3 days",engg,CNB-ALD,high,morning
"schedule a 3h deep screening in 3 days before dawn on the Bhopal-Itarsi stretch, priority",engg,BPL-ET,high,early_morning
OHE snag rectification on NDLS-MTJ late at night a quick next monday,trd,NDLS-MTJ,medium,night
"Requesting to need overhead line repair on Mathura to Agra in 3 days in the morning, immediately",trd,MTJ-AGC,critical,morning
Kindly plan block instrument check on Allahabad to Mughalsarai in the afternoon next tuesday,st,ALD-MGS,medium,afternoon
"Kindly plan signal maintenance on Itarsi section in the evening this weekend, low priority",st,BPL-ET,low,evening
As soon as possible feeder cable maintenance required near near Prayagraj in 3 days before dawn,trd,ALD-MGS,high,early_morning
sleeper replacement required near near New Delhi day after tomorrow during the afternoon,engg,NDLS-MTJ,medium,afternoon
Can you schedule schedule a 1h relay room maintenance tonight during the morning on near Prayagraj,st,ALD-MGS,medium,morning
"auto tensioning device check on the Delhi-Mathura corridor during the morning , asap today",trd,NDLS-MTJ,critical,morning
Critical pantograph inspection required near BPL-ET today at night,trd,BPL-ET,critical,night
"deep screening on BPL-ET during the morning , as soon as possible a 2 hour next saturday",engg,BPL-ET,high,morning
"catenary wire repair on MTJ-AGC in the morning , non-urgent a quick next monday",trd,MTJ-AGC,low,morning
"Can you schedule need rail joint repair on MTJ-AGC next wednesday early morning, top priority",engg,MTJ-AGC,critical,early_morning
"Requesting to schedule a 1h track inspection next monday in the morning on Agra Cantt section, urgent",engg,MTJ-AGC,critical,morning
Kindly a 2 hour signal failure attention on the Bhopal-Itarsi stretch,st,BPL-ET,medium,unspecified
"Requesting to plan interlocking check on Kanpur to Allahabad in the evening next monday, priority",st,CNB-ALD,high,evening
"Requesting to plan traction motor check on BPL-ET at night next tuesday, high priority",trd,BPL-ET,high,night
"schedule a 1h rail grinding next monday overnight on BPL-ET, high priority",engg,BPL-ET,high,night
schedule a 3h signal maintenance next saturday overnight on the Prayagraj-Mughalsarai stretch,st,ALD-MGS,medium,night
"Can you schedule need traction motor check on the Prayagraj-Mughalsarai stretch next monday in the morning, as soon as possible",trd,ALD-MGS,high,morning
"Can you schedule a 3h track inspection on Kanpur Central section next wednesday in the midnight window, urgent",engg,AGC-CNB,critical,night
Non-urgent OHE inspection required near the Kanpur-Prayagraj stretch next thursday at night,trd,CNB-ALD,low,night
"block instrument check on New Delhi-Ghaziabad stretch during the evening , priority a 4h this weekend",st,NDLS-MTJ,high,evening
a 1h rail joint repair on the Mathura-Agra stretch in a week during the evening,engg,MTJ-AGC,medium,evening
"Requesting to need relay room maintenance on Prayagraj section tomorrow in the morning, as soon as possible",st,CNB-ALD,high,morning
"Kindly a 1h rail fracture repair on Kanpur to Allahabad next tuesday in the morning, minor",engg,CNB-ALD,low,morning
"Please schedule a 4h level crossing signal check next friday in the pre-dawn hours on Agra to Kanpur, top priority",st,AGC-CNB,critical,early_morning
Urgent rail grinding required near AGC-CNB next friday,engg,AGC-CNB,critical,unspecified
"Please a 2h OHE inspection on Agra to Kanpur next thursday during the evening, top priority",trd,AGC-CNB,critical,evening
"Can you schedule a 1h formation strengthening on NDLS-MTJ in 3 days in the afternoon, whenever convenient",engg,NDLS-MTJ,low,afternoon
signal circuit testing on Kanpur Central section in the morning a 1h today,st,AGC-CNB,medium,morning
"OHE snag rectification on near Kanpur late at night , priority a 1h in a week",trd,CNB-ALD,high,night
"need broken rail repair on New Delhi-Ghaziabad stretch next thursday during the morning, priority",engg,NDLS-MTJ,high,morning
"Kindly schedule a quick relay room maintenance today in the afternoon on New Delhi-Ghaziabad stretch, high priority",st,NDLS-MTJ,high,afternoon
"track patrolling on ALD-MGS in the afternoon , important a 4h today",engg,ALD-MGS,high,afternoon
"Requesting to need catenary wire repair on near New Delhi this weekend during the evening, asap",trd,NDLS-MTJ,critical,evening
"Kindly plan traction substation check on CNB-ALD in the afternoon next thursday, asap",trd,CNB-ALD,critical,afternoon
Requesting to a 4h traction substation check on the Bhopal-Itarsi stretch tonight,trd,BPL-ET,medium,unspecified
"Requesting to plan level crossing signal check on ALD-MGS before dawn next thursday, an emergency",st,ALD-MGS,critical,early_morning
"Kindly a 2h rail fracture repair on the Pandit Deen Dayal Upadhyaya Jn section day after tomorrow in the pre-dawn hours, priority",engg,ALD-MGS,high,early_morning
"Can you schedule schedule a 1h traction substation check early morning on Allahabad to Mughalsarai, priority",trd,ALD-MGS,high,early_morning
"need pantograph inspection on Allahabad to Mughalsarai, important",trd,ALD-MGS,high,unspecified
"relay room maintenance on Agra to Kanpur in the midnight window , high priority a 3h next monday",st,AGC-CNB,high,night
"need track patrolling on New Delhi-Ghaziabad stretch next saturday early morning, high priority",engg,NDLS-MTJ,high,early_morning
"traction transformer check on Mathura to Agra , important a 2h next wednesday",trd,MTJ-AGC,high,unspecified
Critical track tamping required near Agra to Kanpur next tuesday in the evening,engg,AGC-CNB,critical,evening
An emergency signal cable inspection required near MTJ-AGC in a week,st,MTJ-AGC,critical,unspecified
"Can you schedule a 1h signal cable inspection on ALD-MGS next saturday at night, important",st,ALD-MGS,high,night
"signal circuit testing on BPL-ET in the afternoon , minor a 1h in a week",st,BPL-ET,low,afternoon
feeder cable maintenance required near NDLS-MTJ today,trd,NDLS-MTJ,medium,unspecified
"need ballast renewal on ALD-MGS during the afternoon, high priority",engg,ALD-MGS,high,afternoon
"We need to schedule a 4h level crossing signal check tomorrow in the midnight window on Kanpur Central section, whenever convenient",st,AGC-CNB,low,night
Kindly need deep screening on the Pandit Deen Dayal Upadhyaya Jn section next friday overnight,engg,ALD-MGS,medium,night
"OHE inspection on Prayagraj section , low priority a quick next friday",trd,CNB-ALD,low,unspecified
"Please schedule a 2 hour deep screening tonight on near Kanpur, an emergency",engg,CNB-ALD,critical,unspecified
"track geometry check on Agra Cantt section in the morning , urgent a 1h day after tomorrow",engg,MTJ-AGC,critical,morning
Can you schedule plan formation strengthening on near Bhopal today,engg,BPL-ET,medium,unspecified
"OHE inspection on the Pandit Deen Dayal Upadhyaya Jn section during the evening , top priority a 4h tonight",trd,ALD-MGS,critical,evening
"Please schedule a 2h block section telephone repair next thursday early morning on BPL-ET, minor",st,BPL-ET,low,early_morning
Kindly schedule a 1h pantograph inspection tomorrow in the morning on Kanpur to Allahabad,trd,CNB-ALD,medium,morning
Urgent broken rail repair required near Bhopal to Itarsi in a week,engg,BPL-ET,critical,unspecified
Requesting to need signal maintenance on near Agra this weekend,st,AGC-CNB,medium,unspecified
Kindly plan telecom cable repair on Prayagraj section before dawn tomorrow,st,CNB-ALD,medium,early_morning
"We need to schedule block section telephone repair in 3 days during the evening on Kanpur Central section, non-urgent",st,AGC-CNB,low,evening
plan point machine repair on New Delhi to Mathura in the morning next thursday,st,NDLS-MTJ,medium,morning
"Kindly need block section telephone repair on near Prayagraj next friday before dawn, an emergency",st,ALD-MGS,critical,early_morning
"Kindly schedule a 2 hour overhead line repair late at night on near Kanpur, low priority",trd,CNB-ALD,low,night
"Kindly a quick bridge inspection on the Bhopal-Itarsi stretch today before dawn, an emergency",engg,BPL-ET,critical,early_morning
"Kindly need pantograph inspection on the Bhopal-Itarsi stretch in a week before dawn, important",trd,BPL-ET,high,early_morning
"We need to schedule a quick axle counter testing next saturday in the afternoon on BPL-ET, non-urgent",st,BPL-ET,low,afternoon
"Kindly schedule a 3h formation strengthening next wednesday on BPL-ET, asap",engg,BPL-ET,critical,unspecified
Please need formation strengthening on NDLS-MTJ next monday overnight,engg,NDLS-MTJ,medium,night
"pantograph inspection on Bhopal to Itarsi during the afternoon , non-urgent a quick day after tomorrow",trd,BPL-ET,low,afternoon
"Requesting to a 4h circuit breaker testing on NDLS-MTJ in a week, low priority",trd,NDLS-MTJ,low,unspecified
Important insulator cleaning required near near Kanpur next wednesday during the afternoon,trd,CNB-ALD,high,afternoon
"signal circuit testing on Kanpur Central section in the afternoon , important a 2h today",st,AGC-CNB,high,afternoon
"formation strengthening on near Bhopal in the evening , priority a 2h",engg,BPL-ET,high,evening
"need OHE wire tensioning on NDLS-MTJ this weekend in the afternoon, critical",trd,NDLS-MTJ,critical,afternoon
"Requesting to a 3h bridge inspection on Kanpur to Allahabad tomorrow overnight, immediately",engg,CNB-ALD,critical,night
Immediately broken rail repair required near the Kanpur-Prayagraj stretch tomorrow early morning,engg,CNB-ALD,critical,early_morning
"Please plan traction motor check on Agra to Kanpur next friday, low priority",trd,AGC-CNB,low,unspecified
OHE wire tensioning on Kanpur to Allahabad a 2h next friday,trd,CNB-ALD,medium,unspecified
"Can you schedule schedule a 4h formation strengthening tomorrow on Mathura to Agra, important",engg,MTJ-AGC,high,unspecified
"Please need power supply inspection on Allahabad to Mughalsarai this weekend during the morning, an emergency",trd,ALD-MGS,critical,morning
"We need to a 2 hour ballast renewal on Agra Cantt section during the evening, routine",engg,MTJ-AGC,low,evening
"Can you schedule schedule sleeper replacement in 3 days during the evening on CNB-ALD, priority",engg,CNB-ALD,high,evening
"track geometry check on NDLS-MTJ late at night , immediately next tuesday",engg,NDLS-MTJ,critical,night
"Kindly plan feeder cable maintenance on the Prayagraj-Mughalsarai stretch during the afternoon this weekend, high priority",trd,ALD-MGS,high,afternoon
"Please schedule a 1h signal failure attention tonight during the afternoon on Prayagraj section, as soon as possible",st,CNB-ALD,high,afternoon
"Kindly plan catenary wire repair on Mathura to Agra overnight day after tomorrow, top priority",trd,MTJ-AGC,critical,night
Important auto tensioning device check required near the Bhopal-Itarsi stretch next monday in the pre-dawn hours,trd,BPL-ET,high,early_morning
"track circuit fault on near Prayagraj , as soon as possible a 1h next tuesday",engg,ALD-MGS,high,unspecified
"We need to need block section telephone repair on MTJ-AGC next tuesday overnight, asap",st,MTJ-AGC,critical,night
"track circuit fault on MTJ-AGC in the pre-dawn hours , minor a quick day after tomorrow",engg,MTJ-AGC,low,early_morning
"plan traction motor check on MTJ-AGC in the afternoon next tuesday, critical",trd,MTJ-AGC,critical,afternoon
Minor signal circuit testing required near Kanpur to Allahabad next monday in the afternoon,st,CNB-ALD,low,afternoon
"bridge inspection on near Agra , critical next monday",engg,AGC-CNB,critical,unspecified
Requesting to a 3h interlocking check on the Delhi-Mathura corridor during the afternoon,st,NDLS-MTJ,medium,afternoon
"Please a quick traction transformer check on the Kanpur-Prayagraj stretch next monday during the afternoon, as soon as possible",trd,CNB-ALD,high,afternoon
"a 4h signal failure attention on New Delhi to Mathura tonight before dawn, an emergency",st,NDLS-MTJ,critical,early_morning
"schedule a 2h auto tensioning device check tonight on Itarsi section, critical",trd,BPL-ET,critical,unspecified
"Can you schedule plan feeder cable maintenance on Itarsi section during the evening next tuesday, whenever convenient",trd,BPL-ET,low,evening
"Can you schedule schedule a quick axle counter testing today in the afternoon on New Delhi to Mathura, whenever convenient",st,NDLS-MTJ,low,afternoon
"We need to need rail welding repair on Itarsi section next saturday during the morning, immediately",engg,BPL-ET,critical,morning
We need to need track circuit fault on Bhopal to Itarsi next saturday at night,engg,BPL-ET,medium,night
Please axle counter testing on the Delhi-Mathura corridor tonight early morning,st,NDLS-MTJ,medium,early_morning
traction substation check required near AGC-CNB day after tomorrow during the afternoon,trd,AGC-CNB,medium,afternoon
"We need to need relay room maintenance on New Delhi-Ghaziabad stretch next thursday before dawn, urgent",st,NDLS-MTJ,critical,early_morning
"Kindly a 2 hour level crossing signal check on Itarsi section next friday during the morning, whenever convenient",st,BPL-ET,low,morning
Kindly a quick block section telephone repair on Agra Cantt section day after tomorrow,st,MTJ-AGC,medium,unspecified
track geometry check required near near Mathura in the afternoon,engg,MTJ-AGC,medium,afternoon
"optical fiber repair on the Kanpur-Prayagraj stretch in the afternoon , priority a 4h today",st,CNB-ALD,high,afternoon
As soon as possible point machine repair required near the Pandit Deen Dayal Upadhyaya Jn section this weekend early morning,st,ALD-MGS,high,early_morning
OHE inspection on near Mathura in the pre-dawn hours a 2 hour tonight,trd,MTJ-AGC,medium,early_morning
"Can you schedule plan track geometry check on Agra to Kanpur during the evening next thursday, an emergency",engg,AGC-CNB,critical,evening
Kindly need optical fiber repair on near Kanpur tomorrow,st,CNB-ALD,medium,unspecified
Can you schedule plan route relay interlocking check on near Mathura in the morning next tuesday,st,MTJ-AGC,medium,morning
Can you schedule need broken rail repair on Allahabad to Mughalsarai day after tomorrow during the evening,engg,ALD-MGS,medium,evening
Important block instrument check required near the Delhi-Mathura corridor next friday early morning,st,NDLS-MTJ,high,early_morning
"plan deep screening on Itarsi section late at night tonight, as soon as possible",engg,BPL-ET,high,night
"Kindly plan point machine repair on New Delhi-Ghaziabad stretch in the afternoon next wednesday, high priority",st,NDLS-MTJ,high,afternoon
Please a quick axle counter testing on Kanpur Central section in a week in the afternoon,st,AGC-CNB,medium,afternoon
Requesting to plan track inspection on near New Delhi during the morning today,engg,NDLS-MTJ,medium,morning
"deep screening on NDLS-MTJ late at night , as soon as possible in 3 days",engg,NDLS-MTJ,high,night
"We need to a 4h telecom cable repair on near Kanpur next saturday during the morning, low priority",st,CNB-ALD,low,morning
"Please need overhead line repair on the Delhi-Mathura corridor next thursday during the morning, high priority",trd,NDLS-MTJ,high,morning
"Kindly a 3h traction motor check on Prayagraj section next thursday late at night, high priority",trd,CNB-ALD,high,night
"Please schedule a quick rail grinding on Mathura to Agra, low priority",engg,MTJ-AGC,low,unspecified
Kindly schedule relay room maintenance today in the pre-dawn hours on Agra to Kanpur,st,AGC-CNB,medium,early_morning
"Can you schedule a quick circuit breaker testing on the Bhopal-Itarsi stretch in 3 days, non-urgent",trd,BPL-ET,low,unspecified
"Requesting to a quick sleeper replacement on near Bhopal tonight in the afternoon, as soon as possible",engg,BPL-ET,high,afternoon
Kindly schedule OHE wire tensioning tomorrow during the afternoon on Prayagraj section,trd,CNB-ALD,medium,afternoon
Can you schedule need signal maintenance on Mathura to Agra in a week early morning,st,MTJ-AGC,medium,early_morning
"Please plan signal cable inspection on Agra to Kanpur tomorrow, minor",st,AGC-CNB,low,unspecified
"schedule a 3h deep screening next tuesday before dawn on MTJ-AGC, high priority",engg,MTJ-AGC,high,early_morning
"We need to a 2 hour formation strengthening on New Delhi to Mathura next tuesday before dawn, critical",engg,NDLS-MTJ,critical,early_morning
"We need to schedule a quick traction transformer check next wednesday in the morning on New Delhi-Ghaziabad stretch, whenever convenient",trd,NDLS-MTJ,low,morning
Requesting to need optical fiber repair on near Prayagraj tonight,st,ALD-MGS,medium,unspecified
"Please need track inspection on New Delhi to Mathura tomorrow in the afternoon, as soon as possible",engg,NDLS-MTJ,high,afternoon
"Requesting to a 3h OHE snag rectification on MTJ-AGC in 3 days in the afternoon, as soon as possible",trd,MTJ-AGC,high,afternoon
"rail welding repair on Bhopal to Itarsi in the morning , important next monday",engg,BPL-ET,high,morning
Routine block section telephone repair required near the Agra-Kanpur stretch next monday during the afternoon,st,AGC-CNB,low,afternoon
Please plan deep screening on Allahabad to Mughalsarai during the afternoon next saturday,engg,ALD-MGS,medium,afternoon
"Kindly plan point machine repair on Itarsi section in the evening tonight, as soon as possible",st,BPL-ET,high,evening
"broken rail repair on near Prayagraj during the evening , whenever convenient a 2h this weekend",engg,ALD-MGS,low,evening
"schedule a 1h catenary wire repair in 3 days in the afternoon on Agra Cantt section, important",trd,MTJ-AGC,high,afternoon
"Requesting to plan rail fracture repair on NDLS-MTJ late at night this weekend, non-urgent",engg,NDLS-MTJ,low,night
"We need to need signal failure attention on the Bhopal-Itarsi stretch in a week in the midnight window, top priority",st,BPL-ET,critical,night
"Please plan OHE inspection on Bhopal to Itarsi overnight this weekend, as soon as possible",trd,BPL-ET,high,night
"Requesting to need route relay interlocking check on Ghaziabad section next wednesday early morning, critical",st,NDLS-MTJ,critical,early_morning
"Please schedule a 2h track tamping in a week overnight on the Pandit Deen Dayal Upadhyaya Jn section, important",engg,ALD-MGS,high,night
track geometry check on Agra Cantt section during the evening a 1h in a week,engg,MTJ-AGC,medium,evening
"need OHE inspection on the Bhopal-Itarsi stretch day after tomorrow during the morning, important",trd,BPL-ET,high,morning
Please a quick auto tensioning device check on the Pandit Deen Dayal Upadhyaya Jn section during the morning,trd,ALD-MGS,medium,morning
optical fiber repair required near Itarsi section tomorrow during the evening,st,BPL-ET,medium,evening
"Requesting to need block instrument check on Allahabad to Mughalsarai tonight, whenever convenient",st,ALD-MGS,low,unspecified
"Please need axle counter testing on Agra to Kanpur in 3 days during the afternoon, whenever convenient",st,AGC-CNB,low,afternoon
"Can you schedule schedule a quick catenary wire repair tonight in the morning on Ghaziabad section, immediately",trd,NDLS-MTJ,critical,morning
Important rail joint repair required near the Agra-Kanpur stretch today during the evening,engg,AGC-CNB,high,evening
track inspection required near the Mathura-Agra stretch tomorrow,engg,MTJ-AGC,medium,unspecified
"We need to a 2 hour traction transformer check on Agra Cantt section, as soon as possible",trd,MTJ-AGC,high,unspecified
"signal circuit testing on the Agra-Kanpur stretch , top priority a 1h today",st,AGC-CNB,critical,unspecified
"Please a quick track tamping on the Bhopal-Itarsi stretch this weekend in the morning, urgent",engg,BPL-ET,critical,morning
"traction substation check on Mathura to Agra overnight , critical a 2h this weekend",trd,MTJ-AGC,critical,night
"We need to need track patrolling on the Agra-Kanpur stretch next thursday during the evening, priority",engg,AGC-CNB,high,evening
Kindly schedule a 2h rail fracture repair next tuesday in the evening on ALD-MGS,engg,ALD-MGS,medium,evening
"Kindly plan OHE inspection on Ghaziabad section during the afternoon tomorrow, priority",trd,NDLS-MTJ,high,afternoon
"plan signal failure attention on Itarsi section during the afternoon in 3 days, minor",st,BPL-ET,low,afternoon
Please schedule a 2 hour route relay interlocking check this weekend late at night on Mathura to Agra,st,MTJ-AGC,medium,night
Kindly plan track tamping on MTJ-AGC overnight tonight,engg,MTJ-AGC,medium,night
Non-urgent broken rail repair required near near New Delhi today in the evening,engg,NDLS-MTJ,low,evening
Please a 4h track circuit fault on the Kanpur-Prayagraj stretch next thursday,engg,CNB-ALD,medium,unspecified
"insulator cleaning on NDLS-MTJ during the afternoon , priority a 4h",trd,NDLS-MTJ,high,afternoon
"Kindly schedule a 3h track patrolling tonight in the pre-dawn hours on NDLS-MTJ, an emergency",engg,NDLS-MTJ,critical,early_morning
"Please need overhead line repair on MTJ-AGC next monday, an emergency",trd,MTJ-AGC,critical,unspecified
"Can you schedule schedule a quick formation strengthening next tuesday in the evening on Allahabad to Mughalsarai, an emergency",engg,ALD-MGS,critical,evening
"We need to schedule a 4h OHE snag rectification next thursday during the afternoon on the Prayagraj-Mughalsarai stretch, urgent",trd,ALD-MGS,critical,afternoon
Important signal failure attention required near Kanpur to Allahabad in a week in the evening,st,CNB-ALD,high,evening
"Requesting to a 2h OHE snag rectification on Mathura to Agra next thursday, whenever convenient",trd,MTJ-AGC,low,unspecified
"Kindly a 3h insulator cleaning on Kanpur to Allahabad next tuesday late at night, whenever convenient",trd,CNB-ALD,low,night
"rail fracture repair on Mathura to Agra in the pre-dawn hours , important a 1h next friday",engg,MTJ-AGC,high,early_morning
auto tensioning device check on Allahabad to Mughalsarai in the afternoon a 2 hour next thursday,trd,ALD-MGS,medium,afternoon
"traction transformer check on Ghaziabad section in the afternoon , whenever convenient next saturday",trd,NDLS-MTJ,low,afternoon
"Kindly schedule a 4h traction motor check in a week in the evening on Allahabad to Mughalsarai, top priority",trd,ALD-MGS,critical,evening
"need deep screening on Agra Cantt section next thursday in the midnight window, whenever convenient",engg,MTJ-AGC,low,night
"Requesting to a 4h overhead line repair on the Prayagraj-Mughalsarai stretch tonight during the morning, as soon as possible",trd,ALD-MGS,high,morning
"Please plan auto tensioning device check on Bhopal to Itarsi during the morning next thursday, whenever convenient",trd,BPL-ET,low,morning
Can you schedule plan optical fiber repair on New Delhi to Mathura before dawn next friday,st,NDLS-MTJ,medium,early_morning
Requesting to need bridge inspection on Agra to Kanpur in 3 days,engg,AGC-CNB,medium,unspecified
Minor deep screening required near ALD-MGS tonight,engg,ALD-MGS,low,unspecified
"Can you schedule optical fiber repair on AGC-CNB next wednesday during the evening, non-urgent",st,AGC-CNB,low,evening
Can you schedule need OHE snag rectification on the Pandit Deen Dayal Upadhyaya Jn section next saturday during the morning,trd,ALD-MGS,medium,morning
As soon as possible block instrument check required near the Delhi-Mathura corridor next wednesday in the midnight window,st,NDLS-MTJ,high,night
"Can you schedule plan OHE wire tensioning on Agra to Kanpur in the evening next tuesday, non-urgent",trd,AGC-CNB,low,evening
"We need to a 3h rail grinding on near Agra next saturday in the pre-dawn hours, asap",engg,AGC-CNB,critical,early_morning
"We need to need point machine repair on NDLS-MTJ before dawn, priority",st,NDLS-MTJ,high,early_morning
"schedule a 3h power supply inspection next monday during the evening on NDLS-MTJ, as soon as possible",trd,NDLS-MTJ,high,evening
"Can you schedule plan sleeper replacement on the Prayagraj-Mughalsarai stretch during the morning day after tomorrow, high priority",engg,ALD-MGS,high,morning
Please a quick deep screening on the Pandit Deen Dayal Upadhyaya Jn section next tuesday during the evening,engg,ALD-MGS,medium,evening
"formation strengthening on near Kanpur late at night , urgent a 4h",engg,CNB-ALD,critical,night
"need signal failure attention on Itarsi section next saturday during the evening, asap",st,BPL-ET,critical,evening
Can you schedule a 2 hour block instrument check on the Delhi-Mathura corridor next tuesday during the afternoon,st,NDLS-MTJ,medium,afternoon
"a 4h OHE snag rectification on CNB-ALD next tuesday in the afternoon, asap",trd,CNB-ALD,critical,afternoon
Kindly need rail joint repair on Agra Cantt section day after tomorrow late at night,engg,MTJ-AGC,medium,night
"We need to need deep screening on ALD-MGS next tuesday during the morning, whenever convenient",engg,ALD-MGS,low,morning
Important rail grinding required near Ghaziabad section next monday overnight,engg,NDLS-MTJ,high,night
"Kindly schedule point machine repair next friday early morning on Kanpur Central section, important",st,AGC-CNB,high,early_morning
"We need to need formation strengthening on near Bhopal day after tomorrow during the morning, routine",engg,BPL-ET,low,morning
schedule a 1h pantograph inspection next monday during the evening on near Bhopal,trd,BPL-ET,medium,evening
"Kindly schedule a 4h feeder cable maintenance next monday before dawn on AGC-CNB, routine",trd,AGC-CNB,low,early_morning
"Requesting to schedule a 1h ballast renewal next tuesday on the Bhopal-Itarsi stretch, urgent",engg,BPL-ET,critical,unspecified
"We need to schedule a 2 hour formation strengthening next saturday on New Delhi-Ghaziabad stretch, low priority",engg,NDLS-MTJ,low,unspecified
"Kindly plan signal failure attention on the Agra-Kanpur stretch during the evening this weekend, as soon as possible",st,AGC-CNB,high,evening
Kindly a 4h point machine repair on the Mathura-Agra stretch tonight,st,MTJ-AGC,medium,unspecified
"need interlocking check on near Prayagraj next wednesday in the evening, minor",st,ALD-MGS,low,evening
We need to need sleeper replacement on BPL-ET day after tomorrow in the evening,engg,BPL-ET,medium,evening
"relay room maintenance on near Mathura before dawn , as soon as possible a quick next wednesday",st,MTJ-AGC,high,early_morning
"Requesting to plan auto tensioning device check on near Bhopal overnight next friday, immediately",trd,BPL-ET,critical,night
"Can you schedule a 3h axle counter testing on near Agra next wednesday in the morning, high priority",st,AGC-CNB,high,morning
"track tamping on the Delhi-Mathura corridor at night , priority a 1h this weekend",engg,NDLS-MTJ,high,night
"need power supply inspection on Agra Cantt section in 3 days in the afternoon, asap",trd,MTJ-AGC,critical,afternoon
"Requesting to a 2h rail welding repair on the Pandit Deen Dayal Upadhyaya Jn section tonight during the morning, high priority",engg,ALD-MGS,high,morning
point machine repair required near Ghaziabad section next monday in the morning,st,NDLS-MTJ,medium,morning
An emergency OHE inspection required near the Delhi-Mathura corridor tomorrow during the afternoon,trd,NDLS-MTJ,critical,afternoon
"Can you schedule a 2 hour interlocking check on Itarsi section in 3 days in the pre-dawn hours, whenever convenient",st,BPL-ET,low,early_morning
"plan axle counter testing on Agra Cantt section during the afternoon day after tomorrow, as soon as possible",st,MTJ-AGC,high,afternoon
"Can you schedule a 1h power supply inspection on ALD-MGS next wednesday overnight, urgent",trd,ALD-MGS,critical,night
"feeder cable maintenance on near Bhopal , high priority a 3h next thursday",trd,BPL-ET,high,unspecified
Requesting to plan pantograph inspection on Agra to Kanpur during the morning next friday,trd,AGC-CNB,medium,morning
"We need to need circuit breaker testing on near Prayagraj in a week during the evening, low priority",trd,ALD-MGS,low,evening
High priority traction transformer check required near near Prayagraj tonight in the evening,trd,ALD-MGS,high,evening
"We need to a 3h power supply inspection on the Kanpur-Prayagraj stretch next saturday in the morning, critical",trd,CNB-ALD,critical,morning
signal maintenance required near the Agra-Kanpur stretch in 3 days in the morning,st,AGC-CNB,medium,morning
"signal failure attention on the Mathura-Agra stretch at night , non-urgent a 4h tonight",st,MTJ-AGC,low,night
Can you schedule schedule track tamping in 3 days in the evening on the Prayagraj-Mughalsarai stretch,engg,ALD-MGS,medium,evening
Requesting to plan circuit breaker testing on ALD-MGS in the evening in a week,trd,ALD-MGS,medium,evening
"Kindly need auto tensioning device check on the Bhopal-Itarsi stretch next friday during the afternoon, high priority",trd,BPL-ET,high,afternoon
"Requesting to need sleeper replacement on Prayagraj section next saturday in the morning, important",engg,CNB-ALD,high,morning
